# rp  DS  DS_err
6.922340000000000437e-02 9.297047160131484134e+01 3.417401906414502832e+01
1.224520000000000053e-01 3.626286947209745648e+01 1.483919406221980530e+01
2.166089999999999960e-01 1.959950519571285810e+01 8.131849854556666202e+00
3.831680000000000086e-01 7.497476468845204245e+00 5.084661653680348614e+00
6.777999999999999581e-01 1.180794809310034488e+01 2.224285673109398953e+00
1.198979999999999935e+00 8.888355177996237089e+00 1.259897932255652275e+00
2.120929999999999982e+00 2.118843079439004295e+00 8.822680178928078432e-01
3.751780000000000115e+00 1.410781856792792999e+00 5.118798186152266894e-01
6.636669999999999625e+00 6.261640150790266368e-01 2.742651165206664299e-01
1.173980000000000068e+01 8.080985607665627235e-01 1.736111456942479314e-01
