# rp  DS  DS_err
6.922340000000000437e-02 8.121237388314447969e+01 8.005389283782346155e+00
1.224520000000000053e-01 6.366426056122350730e+01 4.634254766734283493e+00
2.166089999999999960e-01 4.071439462966255718e+01 3.253989137576459800e+00
3.831680000000000086e-01 2.910441360320841397e+01 1.491981442937306612e+00
6.777999999999999581e-01 1.598894177479696666e+01 8.837008910364692049e-01
1.198979999999999935e+00 8.138741626346355673e+00 4.780200881250551981e-01
2.120929999999999982e+00 4.420569691141686519e+00 3.187239519881990280e-01
3.751780000000000115e+00 2.283287128249054998e+00 1.741398020578264760e-01
6.636669999999999625e+00 1.220135364382332055e+00 1.104962528816277323e-01
1.173980000000000068e+01 7.559044407837004487e-01 6.700498928087655903e-02
