# rp  DS  DS_err
6.922340000000000437e-02 9.161223156974676840e+01 1.834762794959435439e+01
1.224520000000000053e-01 7.231599399775352310e+01 1.070764957564699493e+01
2.166089999999999960e-01 4.572045568227824219e+01 5.571525946616476155e+00
3.831680000000000086e-01 3.028675715214010467e+01 3.580188722404789026e+00
6.777999999999999581e-01 1.851732106857331317e+01 1.450437767183068161e+00
1.198979999999999935e+00 9.898123634994711040e+00 9.731081294623696865e-01
2.120929999999999982e+00 4.964028041028020866e+00 5.874447253773388278e-01
3.751780000000000115e+00 2.306143914659434024e+00 3.000783321580418050e-01
6.636669999999999625e+00 1.484800462787677411e+00 2.072643036866775867e-01
1.173980000000000068e+01 7.806788092410734681e-01 1.347060853447745177e-01
